player_id,player_name,player_nickname,jersey_number,country_id,country_name,position_id,position_name,team_name
6332,Thomas Vermaelen,,24,22,Belgium,,,Barcelona
6609,Denis Suárez Fernández,Denis Suárez,6,214,Spain,,,Barcelona
6351,Cristhian Ricardo Stuani Curbelo,Cristhian Stuani,7,242,Uruguay,24,Left Center Forward,Girona
6560,Marc Muniesa Martínez,Marc Muniesa,20,214,Spain,8,Left Wing Back,Girona
6565,Pere Pons Riera,Pere Pons,8,214,Spain,13,Right Center Midfield,Girona
6567,Borja García Freire,Borja García,10,214,Spain,15,Left Center Midfield,Girona
6570,Alejandro Granell Nogué,Álex Granell,6,214,Spain,13,Right Center Midfield,Girona
6572,Juan Pedro Ramírez López,Juanpe,15,214,Spain,5,Left Center Back,Girona
6573,Bernardo José Espinosa Zúñiga,Bernardo Espinosa,2,49,Colombia,4,Center Back,Girona
6574,Douglas Luiz Soares de Paulo,Douglas Luiz,12,31,Brazil,10,Center Defensive Midfield,Girona
6576,Gorka Iraizoz Moreno,Gorka Iraizoz,1,214,Spain,,,Girona
6578,Francesc Aday Benítez Caraballo,Aday Benítez,11,214,Spain,7,Right Wing Back,Girona
6579,Pedro Alcalá Guirado,Pedro Alcalá,5,214,Spain,3,Right Center Back,Girona
6582,Cristian Portugués Manzanera,Portu,9,214,Spain,22,Right Center Forward,Girona
6785,Yassine Bounou,,13,154,Morocco,1,Goalkeeper,Girona
6888,Aleix García Serrano,Aleix García,23,214,Spain,15,Left Center Midfield,Girona
11292,Pedro Antonio Porro Sauceda,Pedro Porro,29,214,Spain,,,Girona
11295,Patrick Roberts,,17,68,England,,,Girona
17276,Seydou Doumbia,,22,55,Côte d'Ivoire,22,Right Center Forward,Girona
34694,Èric Montes Arce,Èric Montes,28,214,Spain,,,Girona
3246,Guido Marcelo Carrillo,Guido Carrillo,9,11,Argentina,,,Leganés
3991,Allan Romeo Nyom,Allan Nyom,12,39,Cameroon,17,Right Wing,Leganés
6301,Youssef En-Nesyri,,26,154,Morocco,23,Center Forward,Leganés
6598,Unai Bustinza Martínez,Unai Bustinza,3,214,Spain,4,Center Back,Leganés
6599,Rubén Salvador Pérez Del Mármol,Rubén Pérez,21,214,Spain,15,Left Center Midfield,Leganés
6601,Raúl García Carnero,Raúl García,14,214,Spain,5,Left Center Back,Leganés
6608,Nabil El Zhar,,10,154,Morocco,17,Right Wing,Leganés
6610,Iván Cuéllar Sacristán,Pichu,1,214,Spain,1,Goalkeeper,Leganés
6666,Sabin Merino Zuloaga,Sabin Merino,18,214,Spain,13,Right Center Midfield,Leganés
6667,Mikel Vesga Arruti,Mikel Vesga,23,214,Spain,13,Right Center Midfield,Leganés
6738,Juan Francisco Moreno Fuertes,Juanfran,2,214,Spain,7,Right Wing Back,Leganés
6739,Diego Alejandro Rolan Silva,Diego Rolán,4,242,Uruguay,,,Leganés
6834,Gerard Gumbau Garriga,Gerard Gumbau,6,214,Spain,21,Left Wing,Leganés
9879,Jon Ander Serantes Simon,Jon Ander Serantes,13,214,Spain,,,Leganés
11730,Jonathan Cristian Silva,Jonathan Silva,5,11,Argentina,8,Left Wing Back,Leganés
11745,Michael Nicolás Santos Rosadilla,Michael Santos,20,242,Uruguay,,,Leganés
16212,Óscar Rodríguez Arnaiz,Óscar Rodríguez,27,214,Spain,21,Left Wing,Leganés
17818,Rodrigo Tarín Higón,Rodri Tarín,28,214,Spain,3,Right Center Back,Leganés
3023,Yuri Berchiche Izeta,Yuri Berchiche,12,214,Spain,16,Left Midfield,Athletic Club
6389,Mikel San José Domínguez,Mikel San José,6,214,Spain,11,Left Defensive Midfield,Athletic Club
6390,Markel Susaeta Laskurain,Markel Susaeta,14,214,Spain,12,Right Midfield,Athletic Club
6391,Raúl García Escudero,Raúl García,22,214,Spain,22,Right Center Forward,Athletic Club
6393,Iñaki Williams Arthuer,Iñaki Williams,9,86,Ghana,24,Left Center Forward,Athletic Club
6394,Aritz Aduriz Zubeldia,Aritz Aduriz,20,214,Spain,24,Left Center Forward,Athletic Club
6396,Beñat Etxebarria Urkiaga,Beñat Etxebarria,7,214,Spain,11,Left Defensive Midfield,Athletic Club
6649,Óscar de Marcos Arana,De Marcos,18,214,Spain,2,Right Back,Athletic Club
6665,Íñigo Martínez Berridi,Íñigo Martínez,4,214,Spain,5,Left Center Back,Athletic Club
6699,Ander Capa Rodríguez,Ander Capa,21,214,Spain,,,Athletic Club
6775,Daniel García Carrillo,Dani García,16,214,Spain,9,Right Defensive Midfield,Athletic Club
6789,Mikel Balenziaga Oruesagasti,Mikel Balenziaga,24,214,Spain,6,Left Back,Athletic Club
6842,Iker Muniain Goñi,Iker Muniain,10,214,Spain,,,Athletic Club
6877,Yeray Álvarez López,Yeray Álvarez,5,214,Spain,3,Right Center Back,Athletic Club
11744,Peru Nolaskoain Esnal,Peru Nolaskoain,31,214,Spain,5,Left Center Back,Athletic Club
11746,Unai López Cabrera,Unai López,23,214,Spain,,,Athletic Club
11748,Unai Simón Mendibil,Unai Simón,25,214,Spain,1,Goalkeeper,Athletic Club
349946,Hodei Oleaga Alarcia,Hodei Oleaga,26,214,Spain,,,Athletic Club
3437,Francis Joseph Coquelin,,17,78,France,11,Left Defensive Midfield,Valencia
3457,Michy Batshuayi Tunga,Michy Batshuayi,23,22,Belgium,22,Right Center Forward,Valencia
4367,Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,7,183,Portugal,16,Left Midfield,Valencia
5186,Denis Cheryshev,,11,188,Russia,16,Left Midfield,Valencia
5718,Rodrigo Moreno Machado,Rodrigo,19,214,Spain,24,Left Center Forward,Valencia
6401,Kevin Gameiro,Kévin Gameiro,9,78,France,24,Left Center Forward,Valencia
6583,Carlos Soler Barragán,Carlos Soler,8,214,Spain,12,Right Midfield,Valencia
6585,Jeison Fabián Murillo Cerón,Jeison Murillo,4,49,Colombia,,,Valencia
6587,Antonio Latorre Grueso,Toni Lato,15,214,Spain,,,Valencia
6589,Geoffrey Kondogbia,,6,43,Central African Republic,11,Left Defensive Midfield,Valencia
6590,Norberto Murara Neto,Neto,13,31,Brazil,1,Goalkeeper,Valencia
6595,Daniel Parejo Muñoz,Dani Parejo,10,214,Spain,9,Right Defensive Midfield,Valencia
6596,José Luis Gayà Peña,José Gayá,14,214,Spain,6,Left Back,Valencia
6746,Gabriel Armando de Abreu,Gabriel Paulista,5,31,Brazil,5,Left Center Back,Valencia
6797,Daniel Wass,,18,61,Denmark,,,Valencia
6891,Ezequiel Marcelo Garay,Ezequiel Garay,24,11,Argentina,3,Right Center Back,Valencia
6898,Jaume Doménech Sánchez,Jaume Doménech,1,214,Spain,,,Valencia
11634,Cristiano Piccini,,21,112,Italy,2,Right Back,Valencia
41407,Juan Brandariz Movilla,Chumi,36,214,Spain,,,Barcelona
3610,Roque Mesa Quevedo,Roque Mesa,7,214,Spain,14,Center Midfield,Sevilla
5218,André Miguel Valente Silva,André Silva,12,183,Portugal,22,Right Center Forward,Sevilla
5504,Éver Maximiliano David Banega,Éver Banega,10,11,Argentina,20,Left Attacking Midfield,Sevilla
5534,Simon Thorup Kjær,Simon Kjær,4,61,Denmark,4,Center Back,Sevilla
5742,Gabriel Iván Mercado,Gabriel Mercado,25,11,Argentina,3,Right Center Back,Sevilla
