match_id,team_id,formation
303400,207,442
303400,217,352
303421,206,442
303421,217,433
303421,206,4141
303421,217,433
303430,217,433
303430,222,4231
303430,217,433
303451,217,433
303451,1043,442
303451,1043,442
303470,220,4141
303470,217,442
303470,217,433
303473,217,433
303473,213,433
303473,217,433
303473,217,442
303479,217,433
303479,210,4231
303479,217,433
303479,217,451
303487,217,433
303487,209,352
303487,217,433
303487,217,433
303487,217,433
303493,217,433
303493,215,4231
303504,221,442
303504,217,433
303504,217,433
303504,217,433
303504,221,442
303504,217,4231
303504,221,442
303516,209,352
303516,217,433
303516,209,352
303516,209,3421
303517,217,433
303517,206,4411
303517,217,433
303524,212,442
303524,217,433
303524,217,433
303524,217,433
303532,217,433
303532,205,352
303532,205,3412
303532,205,3412
303532,205,352
303548,1043,442
303548,217,433
303548,1043,442
303548,1043,442
303548,217,433
303596,217,433
303596,220,41212
303596,217,433
303600,217,433
303600,901,3412
303600,901,41212
303600,901,4411
303600,217,433
303610,217,352
303610,1049,4231
303610,1049,4411
303615,217,41212
303615,214,352
303615,217,41212
303615,214,352
303615,214,41212
303615,217,41212
303634,217,433
303634,422,352
303634,422,352
303634,217,433
303634,422,3511
303652,214,442
303652,217,433
303652,214,442
303652,217,4411
303664,210,4141
303664,217,433
303664,217,433
303666,1049,4231
303666,217,433
303666,217,4231
303674,213,433
303674,217,442
303674,213,433
303674,213,343
303680,901,41212
303680,217,41212
303680,901,442
303680,217,442
303680,217,352
303682,217,433
303682,221,442
303682,221,442
303682,217,4141
303696,217,41212
303696,212,442
303696,212,442
303696,217,41212
303700,322,442
303700,217,433
303700,217,433
303707,218,4141
303707,217,41212
303715,205,343
303715,217,4231
303715,217,4231
303715,217,4231
303725,222,442
303725,217,41212
303725,222,4231
303725,222,4231
303725,217,41212
303725,217,433
303731,217,433
303731,322,4231
3749052,46,442
3749052,1,442
3749068,38,442
3749068,1,442
3749068,38,442
3749079,1,442
3749079,33,442
3749079,33,442
3749079,1,442
3749079,33,442
3749108,1,442
3749108,59,4141
3749108,59,4141
3749117,29,433
3749117,1,442
3749117,29,433
3749117,1,442
3749117,1,442
3749133,59,442
3749133,1,442
3749133,1,433
3749153,1,442
3749153,47,442
3749192,1,442
3749192,55,4231
3749192,55,4231
3749192,55,4231
3749192,1,41212
3749196,1,442
3749196,38,352
3749196,1,41212
3749196,1,442
3749233,1,442
3749233,36,4321
3749233,1,442
3749246,1,442
3749246,39,4411
3749246,39,4411
3749253,24,442
3749253,1,442
3749253,1,442
3749257,1,442
3749257,22,442
3749257,22,442
3749274,105,442
3749274,1,442
3749274,1,442
3749274,1,442
3749276,33,442
3749276,1,352
3749276,1,352
3749278,328,4141
3749278,1,442
3749278,1,442
3749296,1,442
3749296,105,442
3749296,1,442
3749310,25,442
3749310,1,442
3749310,25,442
3749346,101,442
3749346,1,442
3749346,1,442
3749346,1,442
3749346,1,442
3749358,47,442
3749358,1,442
3749358,47,442
3749358,1,442
3749360,1,442
3749360,98,442
3749360,98,442
3749403,1,442
3749403,328,433
3749431,37,442
3749431,1,442
3749434,54,4231
3749434,1,442
3749434,1,442
3749434,54,442
3749434,1,442
3749448,1,442
3749448,24,442
3749453,1,442
3749453,101,442
3749453,101,442
3749453,1,442
3749454,36,442
3749454,1,442
3749454,36,442
3749462,1,442
3749462,54,451
3749462,54,451
3749462,1,433
3749462,1,433
3749465,98,442
3749465,1,442
3749465,98,442
3749465,1,433
3749465,98,442
3749465,1,442
3749465,1,442
3749493,1,442
3749493,29,442
3749493,1,442
3749493,1,442
3749493,1,442
3749493,29,4231
3749493,1,442
3749522,1,442
3749522,46,451
3749522,1,442
3749526,75,442
3749526,1,442
3749526,1,442
3749528,1,442
3749528,37,442
3749528,1,442
3749552,39,4321
3749552,1,442
3749552,39,4231
3749552,1,442
3749590,22,442
3749590,1,442
3749590,22,442
3749590,1,442
3749590,22,442
3749590,1,3412
3749603,55,451
3749603,1,442
3749631,1,442
3749631,25,442
3749631,25,442
3749631,25,433
3749642,1,442
3749642,75,442
3764440,217,433
3764440,1042,343
3764440,217,4231
3764440,1042,343
3764661,215,442
3764661,217,433
3773369,217,3421
3773369,902,352
3773369,902,3511
3773369,217,3421
3773369,902,3511
3773369,902,3511
3773369,902,3511
3773372,217,352
3773372,212,343
3773372,217,433
3773377,217,4141
3773377,207,442
3773377,217,4231
3773377,217,4231
3773377,217,343
3773386,206,4141
3773386,217,4231
3773386,217,4231
3773387,221,442
3773387,217,352
3773387,217,352
3773387,221,442
3773403,217,4231
3773403,215,442
3773403,217,3421
3773415,217,433
3773415,552,4141
3773415,552,4141
3773415,217,433
3773415,217,433
3773415,217,4231
3773415,552,352
3773415,217,433
3773428,552,4141
3773428,217,4231
3773428,552,4141
3773428,217,4231
3773457,217,352
3773457,209,442
3773457,217,352
3773466,209,352
3773466,217,4231
3773466,209,352
3773466,209,352
3773466,209,352
3773466,209,352
3773466,217,4231
3773466,209,352
