player_id,match_id,first_half_start_time,first_half_end_time,first_half_start_reason,first_half_end_reason,second_half_start_time,second_half_end_time,second_half_start_reason,second_half_end_reason
12554,15973,57:05,57:06,Substitution - On (Tactical),Tactical Shift,57:06,,Tactical Shift,Final Whistle
19396,15973,,,,,,,,
21399,15973,,,,,,,,
22332,15973,,,,,,,,
3042,15978,81:36,,Substitution - On (Tactical),Final Whistle,81:36,,Substitution - On (Tactical),Final Whistle
5573,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6605,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6669,15978,00:00,72:26,Starting XI,Substitution - Off (Tactical),00:00,72:26,Starting XI,Substitution - Off (Tactical)
6670,15978,,,,,,,,
6671,15978,00:00,81:36,Starting XI,Substitution - Off (Tactical),00:00,81:36,Starting XI,Substitution - Off (Tactical)
6676,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6679,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6685,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6693,15978,,,,,,,,
6694,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6695,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6704,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6885,15978,,,,,,,,
6899,15978,00:00,72:26,Starting XI,Tactical Shift,72:26,81:38,Tactical Shift,Substitution - Off (Tactical)
6906,15978,72:26,72:26,Tactical Shift,Substitution - On (Tactical),72:26,,Substitution - On (Tactical),Final Whistle
7069,15978,,,,,,,,
16210,15978,81:38,,Substitution - On (Tactical),Final Whistle,81:38,,Substitution - On (Tactical),Final Whistle
3501,15978,45:00,46:57,Substitution - On (Tactical),Tactical Shift,78:57,,Tactical Shift,Final Whistle
5203,15978,56:12,59:41,Substitution - On (Tactical),Tactical Shift,59:41,,Tactical Shift,Final Whistle
5211,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5470,15978,00:00,59:41,Starting XI,Tactical Shift,59:41,,Tactical Shift,Final Whistle
5477,15978,00:00,76:33,Starting XI,Substitution - Off (Tactical),00:00,76:33,Starting XI,Substitution - Off (Tactical)
5492,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5503,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6332,15978,,,,,,,,
6374,15978,00:00,45:00,Starting XI,Substitution - Off (Tactical),00:00,45:00,Starting XI,Substitution - Off (Tactical)
6379,15978,00:00,46:57,Starting XI,Tactical Shift,46:57,,Tactical Shift,Final Whistle
6616,15978,,,,,,,,
6826,15978,,,,,,,,
6998,15978,00:00,46:57,Starting XI,Tactical Shift,46:57,56:12,Tactical Shift,Substitution - Off (Tactical)
8206,15978,76:33,78:57,Substitution - On (Tactical),Tactical Shift,78:57,,Tactical Shift,Final Whistle
8652,15978,,,,,,,,
20055,15978,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
3501,15986,57:51,,Substitution - On (Tactical),Final Whistle,57:51,,Substitution - On (Tactical),Final Whistle
5203,15986,00:00,36:01,Starting XI,Tactical Shift,45:00,,Tactical Shift,Final Whistle
5211,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,15986,00:00,45:00,Starting XI,Tactical Shift,45:00,,Tactical Shift,Final Whistle
5470,15986,57:57,,Substitution - On (Tactical),Final Whistle,57:57,,Substitution - On (Tactical),Final Whistle
5477,15986,00:00,45:00,Starting XI,Substitution - Off (Tactical),00:00,45:00,Starting XI,Substitution - Off (Tactical)
5492,15986,45:00,45:00,Tactical Shift,Substitution - On (Tactical),45:00,,Substitution - On (Tactical),Final Whistle
5503,15986,00:00,45:00,Starting XI,Tactical Shift,45:00,,Tactical Shift,Final Whistle
6374,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6379,15986,,,,,,,,
6609,15986,,,,,,,,
6616,15986,,,,,,,,
6826,15986,00:00,36:01,Starting XI,Tactical Shift,45:00,,Tactical Shift,Final Whistle
8206,15986,00:00,57:57,Starting XI,Substitution - Off (Tactical),00:00,57:57,Starting XI,Substitution - Off (Tactical)
8652,15986,,,,,,,,
11392,15986,00:00,57:51,Starting XI,Substitution - Off (Tactical),00:00,57:51,Starting XI,Substitution - Off (Tactical)
20055,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6351,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6560,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6565,15986,00:00,73:08,Starting XI,Tactical Shift,73:08,,Tactical Shift,Final Whistle
6567,15986,45:00,,Substitution - On (Tactical),Final Whistle,45:00,,Substitution - On (Tactical),Final Whistle
6570,15986,00:00,71:08,Starting XI,Substitution - Off (Tactical),00:00,71:08,Starting XI,Substitution - Off (Tactical)
6572,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6573,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6574,15986,71:08,73:08,Substitution - On (Tactical),Tactical Shift,73:08,,Tactical Shift,Final Whistle
6576,15986,,,,,,,,
6578,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6579,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
