event_id,team_id,player_id,replacement_id,replacement_name,outcome_id,outcome_name,team_name,player_name,match_id,season_name,competition_name
a8e2d156-e4d8-4058-b130-d2b36c12ddc0,217,13599,5503,Lionel Andrés Messi Cuccittini,103,Tactical,Barcelona,Carles Aleña Castillo,16136,2018/2019,La Liga
2b600e1b-a097-4d31-a45b-be36d0fe0e14,217,11392,5470,Ivan Rakitić,103,Tactical,Barcelona,Arthur Henrique Ramos de Oliveira Melo,16136,2018/2019,La Liga
3e52300c-7d97-42d2-a37c-decf27d4b009,217,5477,3109,Malcom Filipe Silva de Oliveira,102,Injury,Barcelona,Ousmane Dembélé,16136,2018/2019,La Liga
d183ba73-67f1-4df3-a855-1caa3d0b9fc0,205,4447,11745,Michael Nicolás Santos Rosadilla,103,Tactical,Leganés,Martin Braithwaite Christensen,16136,2018/2019,La Liga
162e8e0b-5361-4694-ae9f-1613b3bc3ed6,205,16212,6608,Nabil El Zhar,103,Tactical,Leganés,Óscar Rodríguez Arnaiz,16136,2018/2019,La Liga
ca186752-fb67-4365-873e-ede84b5ad67e,205,6667,6606,Javier Eraso Goñi,103,Tactical,Leganés,Mikel Vesga Arruti,16136,2018/2019,La Liga
a9eee16e-8469-4ebd-b502-d312ad3d365b,217,8206,11392,Arthur Henrique Ramos de Oliveira Melo,103,Tactical,Barcelona,Arturo Erasmo Vidal Pardo,16149,2018/2019,La Liga
bc1dbb8c-e80e-4994-9fd5-fdd13b386d4d,211,6888,6574,Douglas Luiz Soares de Paulo,103,Tactical,Girona,Aleix García Serrano,16149,2018/2019,La Liga
b3b7afef-4582-4ee7-907a-3a2f9f8c7681,217,6826,6332,Thomas Vermaelen,103,Tactical,Barcelona,Clément Lenglet,16149,2018/2019,La Liga
4e3c6b2c-0aa0-482b-bf04-fa5f2f0ff918,211,6582,7578,Anthony Rubén Lozano Colón,103,Tactical,Girona,Cristian Portugués Manzanera,16149,2018/2019,La Liga
94ca8534-3cf5-4519-aeaa-d5f8aa00b36b,217,5203,6379,Sergi Roberto Carnicer,103,Tactical,Barcelona,Sergio Busquets i Burgos,16149,2018/2019,La Liga
9991a4ed-8a53-4562-9495-2975b3a2ff51,211,6570,23264,Seung-Ho Paik,103,Tactical,Girona,Alejandro Granell Nogué,16149,2018/2019,La Liga
3423aac6-9721-43d4-bb77-ac0c00d88814,207,6401,6748,Ferrán Torres García,102,Injury,Valencia,Kevin Gameiro,16157,2018/2019,La Liga
67592ab2-6d4d-4673-ba2f-6f2ea3b4c8ed,217,6374,5211,Jordi Alba Ramos,103,Tactical,Barcelona,Nélson Cabral Semedo,16157,2018/2019,La Liga
71dea5b8-3758-4762-8865-f4f17f4f0816,217,13599,11392,Arthur Henrique Ramos de Oliveira Melo,103,Tactical,Barcelona,Carles Aleña Castillo,16157,2018/2019,La Liga
5d340676-35c9-4310-88ed-8dbb6ead8102,207,3437,6589,Geoffrey Kondogbia,103,Tactical,Valencia,Francis Joseph Coquelin,16157,2018/2019,La Liga
cf177f6e-7c86-43a7-a4da-4e776278de53,207,5718,6594,Santiago Mina Lorenzo,103,Tactical,Valencia,Rodrigo Moreno Machado,16157,2018/2019,La Liga
db56e100-d5af-42fe-93d2-dbf4f5f2279c,217,3501,3109,Malcom Filipe Silva de Oliveira,103,Tactical,Barcelona,Philippe Coutinho Correia,16157,2018/2019,La Liga
fb14cb1e-d95c-478a-bba1-8d86f8d0ee26,215,6396,6389,Mikel San José Domínguez,103,Tactical,Athletic Club,Beñat Etxebarria Urkiaga,16173,2018/2019,La Liga
