event_id,team_id,player_id,deflection,offensive,save_block,team_name,player_name,match_id,season_id,competition_id,season_name,competition_name
335e6ccb-5636-469b-92fb-4efe04bc269c,217,5477,,,,Barcelona,Ousmane Dembélé,15956,4,11,2018/2019,La Liga
e027a0dd-456d-405f-be68-519beed6ca64,217,5470,,,,Barcelona,Ivan Rakitić,15956,4,11,2018/2019,La Liga
92d54650-3d2c-4e93-b0d2-e7f937a2c52f,217,5477,,,,Barcelona,Ousmane Dembélé,15956,4,11,2018/2019,La Liga
47d1c82a-cd8b-4bfc-9c4b-76356eec2bf7,901,6760,,,,Real Valladolid,Enes Ünal,15956,4,11,2018/2019,La Liga
3b051d13-f83e-4a9f-bb8c-7b59d576bbc7,217,5203,,,,Barcelona,Sergio Busquets i Burgos,15956,4,11,2018/2019,La Liga
ef03208a-27ff-45fe-a31c-0aae2bef995b,901,11296,,,,Real Valladolid,Óscar Plano Pedreño,15956,4,11,2018/2019,La Liga
293e6713-60a4-4f13-a021-98e00971c2ed,901,6742,,,,Real Valladolid,Sergio Gontán Gallardo,15956,4,11,2018/2019,La Liga
c316c81d-0d05-4699-bcf4-54a1c6adbe89,217,5203,,,,Barcelona,Sergio Busquets i Burgos,15956,4,11,2018/2019,La Liga
55fa45f6-f5ba-4485-b1b7-140f86529bc6,901,11297,,,,Real Valladolid,Javier Moyano Lujano,15956,4,11,2018/2019,La Liga
91ab5e5d-e46b-445f-b470-47424a18b5dd,901,11293,,,,Real Valladolid,Fernando Calero Villa,15956,4,11,2018/2019,La Liga
a9537d3e-8478-4d03-96b9-80ee16853a61,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15956,4,11,2018/2019,La Liga
e4c24c30-158c-43f8-9e53-3e17ae3ee63c,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15956,4,11,2018/2019,La Liga
755766db-6653-42b4-8ed9-e1ebfef55c76,901,6742,,,,Real Valladolid,Sergio Gontán Gallardo,15956,4,11,2018/2019,La Liga
862fca5b-f635-4247-acc8-aa81e21d3559,901,11304,,,,Real Valladolid,Francisco José Olivas Alba,15956,4,11,2018/2019,La Liga
3a3dfd26-485f-4917-8540-1762d4062d92,901,11291,,,,Real Valladolid,Laureano Antonio Villa Suárez,15956,4,11,2018/2019,La Liga
d10cd4a6-be0c-4d27-b1a1-cfb0082f5ee2,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15956,4,11,2018/2019,La Liga
b720e2fd-11ef-4345-940a-fe4b83d79638,901,6742,,,,Real Valladolid,Sergio Gontán Gallardo,15956,4,11,2018/2019,La Liga
b18e9d5f-8fd5-4253-851b-566b256892af,901,6742,,,,Real Valladolid,Sergio Gontán Gallardo,15956,4,11,2018/2019,La Liga
888571a2-369d-46bb-a6a6-94aebca3f6fb,902,11671,False,True,False,Huesca,Juan Camilo Hernández Suárez,15973,4,11,2018/2019,La Liga
c4084328-6b73-484d-a5d8-999e6e0632cb,217,3501,,,,Barcelona,Philippe Coutinho Correia,15973,4,11,2018/2019,La Liga
cfb3ddf6-fbeb-4c85-968f-3ab55c476518,902,11669,,,,Huesca,Gonzalo Julián Melero Manzanares,15973,4,11,2018/2019,La Liga
2981f7e3-1f22-4fb7-a777-fb13b4d9dd54,217,5492,,,,Barcelona,Samuel Yves Umtiti,15973,4,11,2018/2019,La Liga
f22a24f0-acd2-4112-922e-e196fdbc442e,217,5213,,,,Barcelona,Gerard Piqué Bernabéu,15973,4,11,2018/2019,La Liga
7de6b9e7-fc15-487b-ad21-a7e7e8243c29,217,5503,,,,Barcelona,Lionel Andrés Messi Cuccittini,15973,4,11,2018/2019,La Liga
1b70dc44-1eeb-4823-8d57-35ba20c8b51d,217,5503,,,,Barcelona,Lionel Andrés Messi Cuccittini,15973,4,11,2018/2019,La Liga
54ad4be5-c095-4ef4-89c6-db320b24e93c,902,11674,,,,Huesca,Damián Marcelo Musto,15973,4,11,2018/2019,La Liga
fff82ed8-089c-4139-a372-d2e44da98f1c,902,6788,,,,Huesca,Xabier Etxeita Gorritxategi,15973,4,11,2018/2019,La Liga
16ea9b52-c757-4317-96d9-96356de58be6,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15973,4,11,2018/2019,La Liga
80ae26a3-7398-4600-ae25-6a90068c7662,902,11675,,,,Huesca,Moisés Gómez Bordonado,15973,4,11,2018/2019,La Liga
014f3c0d-ed59-4642-bba1-c8dfdeeb62de,902,11676,,,,Huesca,Jorge Miramón Santagertrudis,15973,4,11,2018/2019,La Liga
ff7b65b3-4f81-48b1-9452-e235d6c876e7,217,5211,,,,Barcelona,Jordi Alba Ramos,15973,4,11,2018/2019,La Liga
c6e0de9c-9af3-45f7-b17a-a0dfc9561818,217,5246,,,,Barcelona,Luis Alberto Suárez Díaz,15973,4,11,2018/2019,La Liga
de48f39f-cd82-42c9-a373-343c03a8c09a,902,11676,,,,Huesca,Jorge Miramón Santagertrudis,15973,4,11,2018/2019,La Liga
b2220a27-8e62-4ea8-82b7-96659176812f,217,5203,,,,Barcelona,Sergio Busquets i Burgos,15973,4,11,2018/2019,La Liga
