event_id,team_id,player_id,overrun,nutmeg,outcome_id,outcome_name,no touch,team_name,player_name,match_id,season_name,competition_name
d1656e7f-1aa4-469c-8b67-97b5e6d45bb1,217,20055,False,False,8,Complete,False,Barcelona,Marc-André ter Stegen,15946,2018/2019,La Liga
e64681f2-e335-4414-86da-39e3b32d1671,206,6626,False,False,9,Incomplete,False,Deportivo Alavés,Mubarak Wakaso,15946,2018/2019,La Liga
52f4ce4a-1fd9-48fd-b382-479a963d63a6,217,5503,False,False,8,Complete,False,Barcelona,Lionel Andrés Messi Cuccittini,15946,2018/2019,La Liga
bbf055e7-242e-4e4b-996a-9fc81fbb070e,217,5477,False,False,8,Complete,False,Barcelona,Ousmane Dembélé,15946,2018/2019,La Liga
b28e1b25-0e41-4401-a236-dcaf8298daab,217,5477,False,False,9,Incomplete,False,Barcelona,Ousmane Dembélé,15946,2018/2019,La Liga
9bc93cc1-bb99-44cf-98f6-9d03f67a05f4,217,5211,False,False,8,Complete,False,Barcelona,Jordi Alba Ramos,15946,2018/2019,La Liga
89d9838c-91b8-4be1-85d0-65c4540a4f26,217,3501,True,False,9,Incomplete,False,Barcelona,Philippe Coutinho Correia,15946,2018/2019,La Liga
e65ca8f3-d4fe-4070-9a86-0414d50098f5,217,5477,False,False,9,Incomplete,False,Barcelona,Ousmane Dembélé,15956,2018/2019,La Liga
7e772f21-cc1d-447d-a5c4-faae66dd6843,901,11291,False,False,8,Complete,False,Real Valladolid,Laureano Antonio Villa Suárez,15956,2018/2019,La Liga
2b9d6dfc-2441-4748-98ea-01335baaf7f3,217,5477,False,False,9,Incomplete,False,Barcelona,Ousmane Dembélé,15956,2018/2019,La Liga
151caaca-b5b1-429d-9fb1-e8052addde2b,217,6379,True,False,9,Incomplete,False,Barcelona,Sergi Roberto Carnicer,15956,2018/2019,La Liga
51a0c1bc-51f8-4dbf-b06d-53af817eb85d,217,5503,False,False,9,Incomplete,False,Barcelona,Lionel Andrés Messi Cuccittini,15956,2018/2019,La Liga
97cf319e-7a62-4c70-98e0-258391f33249,901,11300,False,False,9,Incomplete,False,Real Valladolid,Rubén Alcaraz Jiménez,15956,2018/2019,La Liga
deea1a06-3cca-4243-b980-a062574ec5af,901,11303,False,False,8,Complete,False,Real Valladolid,Anuar Mohamed Tuhami,15956,2018/2019,La Liga
92c332d0-584a-4dbe-aa25-26afc1308b6f,217,5492,False,False,8,Complete,False,Barcelona,Samuel Yves Umtiti,15956,2018/2019,La Liga
d8af0ccd-264e-4a35-a2e1-a20270b68f6c,217,5503,False,False,8,Complete,False,Barcelona,Lionel Andrés Messi Cuccittini,15956,2018/2019,La Liga
1ee9167f-4579-428e-a9b5-4fc0a7461384,217,3501,False,True,8,Complete,False,Barcelona,Philippe Coutinho Correia,15956,2018/2019,La Liga
ce10dcb4-c9b4-4efd-a16b-2442ba0163ae,217,5503,False,False,8,Complete,False,Barcelona,Lionel Andrés Messi Cuccittini,15956,2018/2019,La Liga
5458633f-74b6-462b-ab16-4af1bdf97899,217,6379,False,False,9,Incomplete,False,Barcelona,Sergi Roberto Carnicer,15956,2018/2019,La Liga
64833c8d-6f79-43a2-872e-e8c718f8ecbf,901,11291,False,False,9,Incomplete,False,Real Valladolid,Laureano Antonio Villa Suárez,15956,2018/2019,La Liga
5c981783-cd0b-4594-8781-cd54519a5b01,901,11298,False,False,9,Incomplete,False,Real Valladolid,José Ignacio Martínez García,15956,2018/2019,La Liga
